ColName,ScreenableValues
GHBMONR,0:1
RSKCIGPKD,1:4
RSKMRJMON,1:4
RSKMRJWK,1:4
RSKLSDTRY,1:4
RSKLSDWK,1:4
RSKHERTRY,1:4
RSKHERWK,1:4
RSKCOCMON,1:4
RSKCOCWK,1:4
RSKBNGDLY,1:4
RSKBNGWK,1:4
DIFGETMRJ,1:5
DIFGETLSD,1:5
DIFGETCOC,1:5
DIFGETCRK,1:5
DIFGETHER,1:5
APPDRGMON,1:2
RSKYFQDGR,1:4
RSKYFQTES,1:4
RKFQPBLT,1:4
RKFQDBLT,1:4
GRSKCIGPKD,0:1
GRSKMRJMON,0:1
GRSKMRJWK,0:1
GRSKCOCMON,0:1
GRSKCOCWK,0:1
GRSKHERTRY,0:1
GRSKHERWK,0:1
GRSKLSDTRY,0:1
GRSKLSDWK,0:1
GRSKBNGDLY,0:1
GRSKBNGWK,0:1
DIFOBTMRJ,0:1
DIFOBTCOC,0:1
DIFOBTCRK,0:1
DIFOBTHER,0:1
DIFOBTLSD,0:1
APPDRGMON2,0:1
BLNTEVER,1:2
BLNTAGE,1:130
BLNTREC,1:3
BLNT30DY,1:30
BLNTNOMJ,1:2
MEDMJYR,1:2
MEDMJALL,1:2
MEDMJST2,1:2
CIGIRTBL,1:5
CIGCRAVE,1:5
CIGCRAGP,1:5
CIGINCTL,1:5
CIGAVOID,1:5
CIGFNSMK,1:2
CIGFNLKE,1:5
CIGPLANE,1:5
CIGRNOUT,1:5
CIGREGDY,1:5
CIGREGWK,1:5
CIGREGNM,1:5
CIGNMCHG,1:5
CIGSVLHR,1:5
CIGINFLU,1:5
CIGNOINF,1:5
CIGINCRS,1:5
CIGSATIS,1:5
CIGLOTMR,1:5
CIGWAKE,1:4
ALCLOTTM,1:2
ALCGTOVR,1:2
ALCLIMIT,1:2
ALCKPLMT,1:2
ALCNDMOR,1:2
ALCLSEFX,1:2
ALCCUTDN,1:2
ALCCUTEV,1:2
ALCCUT1X,1:2
ALCWD2SX,1:2
ALCWDSMT,1:2
ALCEMOPB,1:2
ALCEMCTD,1:2
ALCPHLPB,1:2
ALCPHCTD,1:2
ALCLSACT,1:2
ALCSERPB,1:2
ALCPDANG,1:2
ALCLAWTR,1:2
ALCFMFPB,1:2
ALCFMCTD,1:2
MRJLOTTM,1:2
MRJGTOVR,1:2
MRJLIMIT,1:2
MRJKPLMT,1:2
MRJNDMOR,1:2
MRJLSEFX,1:2
MRJCUTDN,1:2
MRJCUTEV,1:2
MRJEMOPB,1:2
MRJEMCTD,1:2
MRJPHLPB,1:2
MRJPHCTD,1:2
MRJLSACT,1:2
MRJSERPB,1:2
MRJPDANG,1:2
MRJLAWTR,1:2
MRJFMFPB,1:2
MRJFMCTD,1:2
COCLOTTM,1:2
COCGTOVR,1:2
COCLIMIT,1:2
COCKPLMT,1:2
COCNDMOR,1:2
COCLSEFX,1:2
COCCUTDN,1:2
COCCUTEV,1:2
COCCUT1X,1:2
COCFLBLU,1:2
COCWD2SX,1:2
COCWDSMT,1:2
COCEMOPB,1:2
COCEMCTD,1:2
COCPHLPB,1:2
COCPHCTD,1:2
COCLSACT,1:2
COCSERPB,1:2
COCPDANG,1:2
COCLAWTR,1:2
COCFMFPB,1:2
COCFMCTD,1:2
HERLOTTM,1:2
HERGTOVR,1:2
HERLIMIT,1:2
HERKPLMT,1:2
HERNDMOR,1:2
HERLSEFX,1:2
HERCUTDN,1:2
HERCUTEV,1:2
HERCUT1X,1:2
HERWD3SX,1:2
HERWDSMT,1:2
HEREMOPB,1:2
HEREMCTD,1:2
HERPHLPB,1:2
HERPHCTD,1:2
HERLSACT,1:2
HERSERPB,1:2
HERPDANG,1:2
HERLAWTR,1:2
HERFMFPB,1:2
HERFMCTD,1:2
HALULOTTM,1:2
HALUGTOVR,1:2
HALULIMIT,1:2
HALUKPLMT,1:2
HALUNDMOR,1:2
HALULSEFX,1:2
HALUCUTDN,1:2
HALUCUTEV,1:2
HALUEMOPB,1:2
HALUEMCTD,1:2
HALUPHLPB,1:2
HALUPHCTD,1:2
HALULSACT,1:2
HALUSERPB,1:2
HALUPDANG,1:2
HALULAWTR,1:2
HALUFMFPB,1:2
HALUFMCTD,1:2
INHLLOTTM,1:2
INHLGTOVR,1:2
INHLLIMIT,1:2
INHLKPLMT,1:2
INHLNDMOR,1:2
INHLLSEFX,1:2
INHLCUTDN,1:2
INHLCUTEV,1:2
INHLEMOPB,1:2
INHLEMCTD,1:2
INHLPHLPB,1:2
INHLPHCTD,1:2
INHLLSACT,1:2
INHLSERPB,1:2
INHLPDANG,1:2
INHLLAWTR,1:2
INHLFMFPB,1:2
INHLFMCTD,1:2
METHLOTTM,1:2
METHGTOVR,1:2
METHLIMIT,1:2
METHKPLMT,1:2
METHNDMOR,1:2
METHLSEFX,1:2
METHCUTDN,1:2
METHCUTEV,1:2
METHCUT1X,1:2
METHFLBLU,1:2
METHWD2SX,1:2
METHWDSMT,1:2
METHEMOPB,1:2
METHEMCTD,1:2
METHPHLPB,1:2
METHPHCTD,1:2
METHLSACT,1:2
METHSERPB,1:2
METHPDANG,1:2
METHLAWTR,1:2
METHFMFPB,1:2
METHFMCTD,1:2
PNRLLOTTM,1:2
PNRLGTOVR,1:2
